State,Avg_Math_Score,Avg_English_Score,Total_Enrollment,State_Debt,State_Revenue,Salaries,Emp_Benefits,Student_Support,Inst_Staff_Support
Alabama,269.1943,257.4278,744548,5116627,3898347,5045,1884,502,400
Alaska,281.5596,261.2561,131091,1321403,1707449,8151,6110,1497,1260
Arizona,279.7223,260.4483,941726,4270089,2934165,4446,1265,567,410
Arkansas,277.9148,261.9645,477716,3664741,3847045,5639,1556,484,798
California,275.9014,261.5025,6208733,54627921,35141208,5567,2085,492,515
Colorado,289.6818,271.0091,851063,7733760,3693829,5495,1472,418,472
Connecticut,285.244,274.4595,517812,2955849,3870444,9601,4255,1079,511
Delaware,282.3383,265.985,118685,546114,1124112,7620,3728,596,258
District of Columbia,265.2594,247.7392,44179,0,0,3528,1651,303,846
Florida,280.8558,265.8283,2680074,15427316,9455562,4930,1416,363,523
Georgia,279.1791,264.6157,1682620,4598756,7580785,6641,1867,425,473
Hawaii,281.4129,259.9606,184760,0,1962923,6463,2446,1089,477
Idaho,286.4139,270.2242,272070,1304638,1278155,7180,1435,377,293
Illinois,284.8976,266.8987,2069823,20995281,10382540,6875,3155,830,492
Indiana,287.7677,267.273,1002772,11510266,7503451,5321,2848,458,369
Iowa,285.0701,269.0034,499489,3340760,3118413,6511,2171,585,495
Kansas,289.5183,266.8875,488590,4635849,3193838,6771,1756,471,377
Kentucky,280.6454,269.6165,685009,5556456,3960822,5840,2166,429,523
Louisiana,272.761,257.3512,671156,3837104,3370399,5800,2738,651,542
Maine,288.7312,269.1938,184682,847287,1029166,7359,2900,855,610
Maryland,286.6414,273.8019,859252,4209003,6093652,8122,3701,629,750
Massachusetts,300.5682,277.0096,922848,5173073,6428534,8822,3315,1112,856
Michigan,280.1336,265.943,1381167,17947829,9882361,5779,3156,869,529
Minnesota,294.593,271.0197,802454,10795906,6792440,6997,2282,301,492
Mississippi,271.161,253.1478,492847,1707286,2213501,4797,1594,397,408
Missouri,282.9885,267.215,897224,6653241,4235564,6032,1795,453,422
Montana,289.2285,271.7658,142797,489491,788329,6180,1890,671,408
Nebraska,285.0613,269.2219,303242,2082436,1217306,6754,2305,483,362
Nevada,278.2867,261.696,431776,4195356,2556472,4972,1967,444,502
New Hampshire,295.6651,274.3077,187703,816191,1020089,7653,3304,1057,437
New Jersey,296.0534,276.378,1338657,9317911,10986132,10385,4194,1843,563
New Mexico,272.7618,255.8701,327209,1950929,2401884,5386,1737,897,243
New York,281.8078,266.3461,2629805,32490344,23632698,9044,5656,615,486
North Carolina,285.6454,264.541,1468228,8232618,7891977,5266,1732,443,275
North Dakota,290.5151,267.7792,101025,347727,685348,7186,2384,498,419
Ohio,289.5281,269.087,1613718,9382042,8990516,6744,2575,741,723
Oklahoma,275.5067,261.9315,671445,1612929,2890048,4419,1455,530,332
Oregon,283.5246,268.2827,564006,6492262,3041825,5017,2807,684,351
Pennsylvania,289.6237,272.0854,1623694,25449313,9764558,8098,3461,750,472
Rhode Island,284.0922,266.6771,136401,1040407,841875,8509,3702,1637,522
South Carolina,279.8246,261.4491,722249,12240323,3819285,5681,1929,749,569
South Dakota,287.2704,268.1008,130296,768788,408009,5082,1472,466,341
Tennessee,277.7201,265.3595,992461,5176291,4097627,5153,1639,381,542
Texas,288.199,263.6841,4897523,67957662,18873046,5668,953,415,421
Utah,284.3315,270.0419,562315,2778055,2235917,4219,1657,230,263
Vermont,295.4696,274.3685,89426,302954,1431621,9534,3729,1365,760
Virginia,288.143,267.5899,1264880,8378552,5874323,6857,2606,544,704
Washington,289.957,272.0361,1050901,9540213,7159428,5977,2044,651,583
West Virginia,274.4301,257.3835,282310,422655,2027414,6156,3117,551,461
Wisconsin,288.7458,267.543,863737,4934913,5587013,6149,2866,536,542
Wyoming,288.1191,270.9662,91533,61665,881114,9366,3905,923,931
